year,open,high,low,close,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA,month,quarter,Company
2015,1448.7144873919735,1450.5004646620102,1446.9397271220553,1448.6854445365218,4013.8571682254055,1448.7058748668148,1448.7339614656073,1448.7626364389725,1448.7906875221997,1448.706374921408,1448.7342155638758,1448.7621163346712,1448.7899171316992,1452.4380199717148,1448.7058748668148,1444.973729761915,1448.8736142975656,1448.8592015871818,1449.0360641211514,1449.020309827892,1704.0235971350776,1448.705673281996,1448.7335751351643,1448.790846938674,40.75164394474273,29.545685919729454,21.47798244328153,-0.07832061071333046,-0.3192371591228339,-0.4767857300587278,-0.12245761728718113,-0.027840642467831717,-0.08354221029428972,-0.05570157184845862,-0.027800096657366907,-0.07786788919323608,-0.11148040724517581,-0.1677429856753877,-0.22159642476618918,-0.0028645027200573476,-0.006159634308411417,-0.012346925422484641,-0.00540191681579341,49.872652295301265,49.9209050921851,49.1235786913655,49.11974434899097,49.12860007943583,49.1235786913655,49.73575776081229,49.729838499536356,49.025648978416484,-50.63791515862067,3.6191738513765777,3.617994554279639,1448.7085454401958,21.374368246282092,0.4436921181644846,7.022019651947437,2.640108914407482,ACC
2016,1458.967365529994,1460.5625115570783,1457.3079295154184,1458.947256213629,3689.604611954098,1458.9508772502256,1458.9548180779889,1458.958497851743,1458.9625624082266,1458.950761522816,1458.9547461908257,1458.9587441552526,1458.9627872623557,1462.3556740679564,1458.9508772502256,1455.5460804324948,1458.9672461540747,1458.8940139351087,1458.7818195130737,1458.88869628485,1774.65,1458.9509088901714,1458.954905367949,1458.9624360837836,41.33035517707633,30.085063262109248,22.277877867233634,-0.01130388595741168,-2.1210205452047797,-1.8038802526820776,-2.029990249307218,-0.003984668009562002,-0.012025739539553429,-0.008041071529991421,-0.0040431071030679515,-0.01135482905576185,-0.01563332789470824,-0.02397345950943605,-0.03287105019850985,0.0001227265692617085,0.00025923835388328906,0.0004162295656578465,-0.0008205845149585232,50.005005271199416,49.9114552485764,49.563363582323305,49.564181410786816,49.56177835660939,49.563363582323305,49.198446224737566,49.20245879530306,49.99160898582856,-50.35344575764866,3.29902293586206,3.2992385924838334,1458.9392324287087,21.394812653503358,0.4442481412921776,6.557350301843694,2.50709740577582,ACC
2017,1624.9591685587632,1626.6360741701806,1623.2478267920856,1624.942615417883,5306.911558006271,1624.8961936425687,1624.8380270840123,1624.7792128878798,1624.7197190236816,1624.8961149534637,1624.8375109980457,1624.7783963646139,1624.7190372403652,1628.4456525843684,1624.8961936425687,1621.3467347007693,1624.6293399441493,1624.866452375503,1624.939228301156,1624.6467350047851,1496.6326305546547,1624.8961765759936,1624.8381814250645,1624.7202830772694,42.107535154822976,30.680819884654124,22.524862690476763,0.16646884556682492,-3.4868275264071587,-3.4508360853653235,-3.3246417382749973,0.05860395541789571,0.17707771309838302,0.11847375768048733,0.05935912424852932,0.1662310206131459,0.23337117526219053,0.3533273867445129,0.4732754892420803,0.00817366382222586,0.016477834898855025,0.03346187898433533,0.010901905894901948,50.23870110528412,49.97651395126406,49.34579127221436,49.34608990190986,49.34715262267706,49.34579127221436,48.4439860577869,48.440713104746564,49.79110267304464,-50.54938555179634,3.4330681679683694,3.432611633690142,1624.9421721267165,21.33308123302556,0.4551251065160815,6.515407071034707,2.4978916639636717,ACC
2018,1515.7309430575951,1517.6678930766302,1513.745295589275,1515.69835209659,7561.701854571164,1515.725801381441,1515.7601340621127,1515.7946766737368,1515.8292550443252,1515.7258393676602,1515.7602788706508,1515.7949169151332,1515.8297584765053,1519.9276436488235,1515.725801381441,1511.523959114058,1515.7808119510146,1515.828403445117,1515.9334071475485,1516.1616983442198,1174.0,1515.7258273695202,1515.760063450682,1515.8291699669119,41.406308535673894,30.32418407407802,22.60854769976445,-0.09694330093171381,-3.3916485382846155,-4.204640478050692,-4.930314650936819,-0.03443950299064871,-0.10391910884513715,-0.06947960585448844,-0.034841561372346765,-0.09772558319308315,-0.13767335617555881,-0.20679012345679015,-0.2761978571817045,-0.002953018233357734,-0.005985949606569695,-0.011977749541972452,-0.005904937526653017,49.40214145965254,49.283021814768055,48.85064419764464,48.850520740204146,48.84903275316699,48.85064419764464,49.0807312062577,49.083388599121214,49.45737776860386,-51.70192852433316,3.9870891170521605,3.9868466851580044,1515.7038469208317,21.38730588605436,0.47692388356675586,6.451949747103932,2.4948604992657857,ACC
2019,1531.5194265428727,1533.4536264336427,1529.5052020753687,1531.480289459312,10299.367449481158,1531.4870005461792,1531.4951671217893,1531.503013835791,1531.510909885307,1531.4869310144975,1531.4949702134402,1531.5028040666418,1531.51047250278,1535.608870968417,1531.4870005461792,1527.3651301239413,1531.4918358743223,1531.5182087943788,1531.610316505551,1531.828400541548,1174.0,1531.4869747665484,1531.4952845440148,1531.5109766644987,41.02222785491264,29.722464968590938,21.685422106535153,-0.021777437017204495,-4.447909097599965,-5.797115425589039,-5.766533133720491,-0.008039198942716805,-0.02354148828249316,-0.015502289339776357,-0.00766843613811007,-0.021280708290832406,-0.03208356089568541,-0.04822501365374112,-0.06334789732386673,-0.00020170598349169742,-0.0002950582786795615,-0.00046764954274816753,-0.001440151791726666,49.52006326147034,49.262938776206234,49.010561240481344,49.01144041679176,49.011349541054166,49.010561240481344,48.62543709484088,48.623742623122,49.835568226932644,-51.342344835166685,3.994606765107973,3.9944019661387324,1531.479705989441,21.686838228779013,0.5113245513357617,6.452867285636264,2.4927362097214636,ACC
2020,1389.212455487643,1391.4654770130214,1386.9167844804676,1389.1988493223494,17212.712144565507,1389.1806436354334,1389.15773372309,1389.1350100097438,1389.1124144299747,1389.1806014892686,1389.1578399439525,1389.135133709839,1389.1123938910262,1393.9005364832278,1389.1806436354334,1384.460750787639,1389.0788977702884,1389.302255589065,1389.295961422409,1389.2647212249706,1731.2408583576932,1389.1806545032005,1389.157721410281,1389.1122996883298,39.86800326206838,28.740258801885403,20.988925743711906,0.06318262502589883,-1.956872221142962,-2.1121424335369117,-2.011963626837483,0.02276154531588792,0.06820759824221126,0.045446052926323345,0.022739818812769815,0.0637394185689588,0.09121179909646561,0.1362529896359288,0.18127557799627964,0.005100452956038697,0.009923005583607,0.01954002859004091,0.00419176785627113,50.01523847232079,49.81360869461018,49.34641177304398,49.3466747027349,49.34678832021839,49.34641177304398,49.002215787831,49.00296497219136,50.06768570230647,-50.9480671464759,4.62536728716916,4.6253999468509255,1389.1937036052796,21.832048014145137,0.5295286576347565,6.520914164230667,2.504703693861281,ACC
2021,2080.9193305235854,2083.6200734857084,2078.184835467661,2080.8926406224673,9991.716917922948,2080.827738153174,2080.7471283838445,2080.666891626589,2080.586859566656,2080.8278585321927,2080.747405714989,2080.6670977516337,2080.5867609829947,2086.3676578454333,2080.827738153174,2075.2878184609153,2080.496345620462,2080.5805732837703,2080.5206987521597,2080.62897732175,1067.43998757227,2080.8277056311845,2080.7470844365657,2080.5866066156627,40.51823369831454,29.063858436332865,21.197333904939796,0.2240124318902834,-0.6553737135833648,0.46196009321345477,1.766796489971458,0.08045281720408863,0.24109754919825288,0.16064473199416424,0.08033676863947077,0.22487610397221308,0.32241043929324037,0.4821608040201004,0.6411492948614038,0.009427928826411873,0.018799321523858947,0.03739210690270342,0.011824635312798194,50.37876467199633,50.262577631117416,49.54555710556478,49.544176826497576,49.54670189696245,49.54555710556478,49.06392410623063,49.0614835346217,49.64503702664671,-50.006497578642346,5.488331333696987,5.489663370616519,2080.899183191945,21.801231912146662,0.48659663223573535,6.568973901766899,2.513535419030637,ACC
2022,2259.922725490196,2262.911254901961,2256.768176470588,2259.883960784314,4999.878431372549,2259.9130235294733,2259.9456549019496,2259.9762222222166,2260.005330392163,2259.9121651483147,2259.943866908432,2259.9742017563053,2260.004320811419,2266.2179849601303,2259.9130235294733,2253.6080620988155,2260.1224138640346,2259.648796710412,2260.0973190143586,2260.3570259184044,895.15,2259.913236581914,2259.946223529457,2260.006936363628,40.71171999115819,29.27439835258343,22.88129309634722,-0.07977601809092502,-0.33639979584537005,2.1583812643194378,1.7625852178257233,-0.03170176011748178,-0.09215566310448577,-0.06045390298700398,-0.030119055113591458,-0.08338819405020759,-0.13050980392156855,-0.18927450980392144,-0.2362352941176469,-0.0021298677801502514,-0.003989144339876425,-0.007145021025107378,-0.003600740287148942,49.99668225650981,50.069218741974495,50.408028117431435,50.42365239547075,50.39541197784821,50.408028117431435,50.08754427034182,50.10061616576616,50.86437822525023,-49.04213072720366,6.206965676044627,6.205901960784302,2259.8544640522878,21.005121099711573,0.46659125600680185,1.411764705882353,1.0,ACC
2015,297.3592192494377,297.92423641529535,296.7340298330768,297.32460636912515,51582.31413519593,297.39130460518453,297.4745927548244,297.55819501992835,297.6420215757073,297.39129229936503,297.47477850713335,297.5583435112982,297.64189092572786,298.6919606889388,297.39130460518453,296.0906485214302,297.81530684715506,297.39110070263865,297.33034862298996,297.3574575641516,750.008423108796,297.3913128246744,297.4745822974648,297.64180098892757,42.644379279181834,32.51691422045751,24.90016580328673,-0.23455913266058076,-6.041779881289,-7.685904335332435,-8.504291466571742,-0.08348620776829631,-0.2505986263642417,-0.16711239919129206,-0.08354558245954356,-0.2339119907109502,-0.33354445365218416,-0.5017106665088197,-0.669811767491417,-0.04259420813434514,-0.07601021442207813,-0.14070881290227177,-0.07788386971594877,48.935020621524345,48.698724978236676,48.728729463708646,48.73091322562961,48.728948202951585,48.728729463708646,48.392088255355205,48.39289893791628,49.97717174150073,-51.898093331110424,1.2149132773076097,1.2129395051497587,297.3276242058325,21.73583482819782,0.46319473880682493,7.022019651947437,2.640108914407482,ADANIENT
2016,73.11675640398107,73.26234567901234,72.96446130418231,73.11327840321967,43855.37744058302,73.11403002120889,73.1149844999187,73.115965446602,73.11699420786414,73.1140358200991,73.11501056547797,73.11600892536137,73.11701611996101,73.41673607647276,73.11403002120889,72.81132396594502,73.12344737323754,73.12004873001061,73.11514960107337,73.11274917843734,803.9,73.11403043180138,73.11497978644506,73.11695884402585,41.94544674836521,31.361335552621018,23.55106632606177,-0.0028678288581247117,-2.2760537240010383,-2.198772558320138,-2.0699570078965026,-0.0009747453788605691,-0.002980299861903405,-0.0020055544830428354,-0.0010071945996426414,-0.0028282156734227883,-0.003817914831130689,-0.005963452439223364,-0.008057323108718116,6.779617953839527e-05,9.793220268940819e-06,-0.0006152861638370149,-0.0035028084564716023,50.06359645427856,49.91572126088042,49.80886645065901,49.8073667890726,49.808823951023506,49.80886645065901,49.36136691383055,49.36191437331927,50.02094010346574,-49.94612715136093,0.30302776285319305,0.3030918583782023,73.11336179547143,21.46718953972407,0.41911292462710104,6.557350301843694,2.50709740577582,ADANIENT
