year,quarter,open,high,low,close,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA,month,Company
2015,1,1608.0276097074468,1610.1595246010636,1605.868866356383,1607.9938164893617,5978.608377659574,1607.9790325797865,1607.9645378989353,1607.948557180851,1607.9260048204808,1607.979540463937,1607.9617831794235,1607.9396115422148,1607.914092372212,1612.7005758015252,1607.9790325797865,1603.2574893580477,1607.7716968564814,1608.3874180319358,1609.0130529542116,1609.2825131786858,1494.7579122340426,1607.9783835683977,1607.9646265514177,1607.9301663745352,40.23414679419856,28.549671598693692,19.648707966970584,0.06590747323405687,2.9906898716193395,2.158236821247101,2.8115517408112383,0.017757284513278408,0.06544809170682002,0.047690784604552776,0.02552310353386881,0.07256539246654943,0.0644614361702127,0.10551861702127653,0.17947140957446805,0.0030382899170296727,0.006155107954327307,0.015239391609015532,0.004273167665371346,50.39262686551244,50.48788548806599,50.6338880983681,50.63594779132349,50.63700637973973,50.6338880983681,50.52689105252429,50.526891052524455,49.73379326976666,-49.74743750392294,4.381415726963258,4.376379654255336,1608.0074024822695,22.028490912912513,0.4219842183677157,2.5222739361702127,ACC
2015,2,1486.5649836065572,1488.625661202186,1484.55556284153,1486.5286338797814,4164.308633879781,1486.5785945355187,1486.6447803278666,1486.7140218579236,1486.7871426229533,1486.579398691493,1486.647779074495,1486.7199247545866,1486.794933542448,1490.814120635161,1486.5785945355187,1482.3430684358766,1487.0759489454629,1486.9202967814604,1486.967745626754,1486.8888130486437,1697.8746885245903,1486.5783157214096,1486.6440440801514,1486.7839901639563,41.8897680438143,31.306962997051997,23.04521510592912,-0.20536261734559932,-1.3899523066871213,-1.3526837794966242,-1.5731046077190218,-0.0683803830019926,-0.2155348509549441,-0.1471544679529515,-0.07500878786149343,-0.2117590764997113,-0.2667540983606558,-0.4125792349726776,-0.5732349726775958,-0.0075745855291590855,-0.01592916701391153,-0.03440431043370414,-0.013659568912296761,49.57969878815189,49.70709074944213,48.04916707805639,48.03886043219553,48.063709788147555,48.04916707805639,49.49599253888094,49.48072992425387,48.20077943260606,-51.45200718418987,4.1195549848038295,4.118535519125698,1486.5699526411656,22.007856706768987,0.4569720362906184,5.049180327868853,ACC
2015,3,1398.6192708333333,1400.3732291666668,1396.8783958333333,1398.5933958333333,3872.316875,1398.6326541666645,1398.6840729166645,1398.734861111111,1398.784941666669,1398.633194716939,1398.68380341687,1398.7342389857934,1398.7842550921127,1402.2787979717111,1398.6326541666645,1394.9865103616178,1398.8815644798237,1398.6074639473868,1398.818474633029,1398.7754619363216,1774.65,1398.6326284702961,1398.68362534723,1398.7854568181888,40.452185769518444,29.303115265211606,21.834958206585174,-0.14119731570133548,-0.10033301254068552,-0.12383664236697701,-0.05217962501551885,-0.0506086999310394,-0.15106037517393994,-0.10045167524290055,-0.05001610631952133,-0.13950802032664866,-0.20342708333333334,-0.3017916666666667,-0.40334375,-0.006247833007572175,-0.012971506032637308,-0.02589600733129927,-0.010170013709025257,49.70776384721444,49.78143419343043,49.09225034913877,49.08734429791238,49.09510256666373,49.09225034913877,49.85081951290855,49.84453335914204,49.06953384104322,-50.9670644288946,3.5588292931736585,3.5577500000000115,1398.6150069444445,20.858707036988864,0.4783728728863821,7.953125,ACC
2015,4,1357.3992906229219,1358.7100642872977,1356.0825094214144,1357.3774551097317,2701.754821547329,1357.371383285299,1357.364397029481,1357.3581770486958,1357.350821325651,1357.3715266131367,1357.3644310054585,1357.3568696419666,1357.3487086607117,1360.0247717182633,1357.371383285299,1354.7179948523349,1357.3685656994305,1357.353538783229,1357.32606727899,1357.2132071822286,1774.65,1357.3713712191156,1357.3641140176026,1357.3512923963535,40.26109039046675,28.681688489139916,20.728455626450035,0.02125537859531795,-1.6733667560991483,-1.7210929521979343,-0.6824497544714763,0.007095607678034767,0.02281795242472531,0.015722344746690542,0.008160981254843918,0.023200942581286126,0.02651296829971185,0.04098869430281546,0.06098426069607639,0.0015764225690922556,0.0027851344075338737,0.006045556944592934,0.0015949728560470044,49.99848766192283,49.90808839993546,49.23947283397549,49.23941276175537,49.23841497472199,49.23947283397549,49.32895229391007,49.32895229391052,49.34332417307244,-50.05582011783964,2.6676302096518154,2.668754156506328,1357.390009606148,20.84441105644739,0.40779633330447806,11.032587009532255,ACC
2016,1,1269.2266777777777,1270.8918777777778,1267.5282333333332,1269.215222222222,3031.6564444444443,1269.208433333325,1269.194799999998,1269.179285925926,1269.1647538888915,1269.2073523948309,1269.1938791006792,1269.1798265375353,1269.1655727472992,1272.6979843458462,1269.208433333325,1265.7188823208037,1269.1706227474313,1269.3375409387756,1269.303711621356,1269.4255190929828,1774.65,1269.20860741848,1269.1960133333484,1269.164691818181,41.10362161156147,29.5006555674759,21.96489648278181,0.03988340456605773,-1.3929453195670471,-3.618468043006716,-4.373772402113168,0.013473294151671377,0.041779647531624456,0.02830635337995308,0.014253790235980284,0.04024507687826559,0.05559999999999996,0.0834444444444443,0.10812222222222213,0.0023280725270652916,0.005777072918961619,0.011318392270367558,0.0029555060448145636,49.906463975535395,49.876801238694156,50.12100270374318,50.131809830935985,50.108032565924624,50.12100270374318,49.74093704114679,49.75976996223353,50.17436313368756,-50.08634409805791,3.4057482009672277,3.405922222222233,1269.2117777777778,21.12992771440108,0.44468878323045813,2.0166666666666666,ACC
2016,2,1483.5601612903226,1485.0302365591397,1482.1234731182797,1483.5984193548388,4033.9782795698925,1483.4949892473041,1483.3702193548365,1483.245228673835,1483.1188500000026,1483.495865868797,1483.3700791937085,1483.2446194950153,1483.1198607742483,1486.5105307070241,1483.4949892473041,1480.4794477875837,1482.9599636811956,1483.3619803779616,1483.1842001252319,1483.0218829763785,1774.65,1483.4948088678348,1483.3694025089821,1483.1197463343053,41.72649007210872,30.535097321038275,22.360477681928156,0.35382299421958097,1.6532925664274258,4.875354148758742,5.770017772546499,0.1257866750885958,0.3760050945488721,0.2502184194602763,0.1247587207671123,0.3484826479574808,0.5011935483870968,0.7559462365591398,1.0131182795698925,0.017578890776806227,0.03454808208718672,0.06997524866302529,0.023758142574866623,51.46283609079477,51.32653371952017,50.18893759843199,50.17850873873555,50.20308297417469,50.18893759843199,49.390805221429375,49.37257981392695,49.98669438458217,-49.089665416448476,2.9466034309441764,2.9454516129032386,1483.5840430107526,22.130344758385768,0.4262518657733181,5.064516129032258,ACC
2016,3,1650.1101720430106,1651.725623655914,1648.3561075268817,1650.0752688172042,3756.9486021505377,1650.082062365587,1650.089025806451,1650.093077419355,1650.0973811827998,1650.081493383202,1650.0875946958986,1650.0929887283503,1650.0982430910144,1653.6867181258217,1650.082062365587,1646.477406605352,1650.062337136836,1649.8270321661846,1649.6042676126021,1649.769162815979,1774.65,1650.081963009699,1650.0897258064863,1650.0980500488602,41.73131855301829,30.466221319486166,22.60517245032657,-0.01368741382993732,-4.5175294592623905,-3.941496236380483,-3.437517186010587,-0.00610131269649711,-0.016749707812462246,-0.010648395115965126,-0.005254362664068628,-0.014641672929480636,-0.02447311827956993,-0.029279569892473125,-0.04463440860215058,-0.000438306747864642,-0.0002925926928132021,-0.0002007561045006068,-0.0008285592187993649,49.62166440429052,49.45471412859486,50.72721010453591,50.73013438334705,50.72649457156287,50.72721010453591,49.45816896006071,49.45918889686619,51.09462287187135,-49.42465291237888,3.4093501995595936,3.413290322580658,1650.0523333333333,21.18458772014566,0.4500040284630707,8.0,ACC
2016,4,1426.410693263571,1428.0433180728146,1424.6596468279922,1426.3379223893612,3917.701329845215,1426.4570612600814,1426.6056572923494,1426.7582275997383,1426.9125283409674,1426.4573459388457,1426.6078654176983,1426.7593920045936,1426.910727939092,1429.970709060055,1426.4570612600814,1422.9434134601079,1427.1221394958982,1426.49583424244,1426.4853364093874,1426.7916415384027,1774.65,1426.4573008829059,1426.6049353245,1426.9104961650307,40.74474237672448,29.81577860656693,22.169398966061085,-0.42924576421583416,-4.23201423042206,-4.627704230454336,-6.210940185719326,-0.15051947885275707,-0.4533820002464322,-0.3028625213936752,-0.15133593449862104,-0.4234237239330039,-0.6004796163069545,-0.9146064966208851,-1.2196206671026817,-0.019167967882571867,-0.039354313975651214,-0.08016807119905013,-0.029433273879206596,49.01243006965071,48.97395238450309,47.20230372847909,47.202587495801424,47.19505919089521,47.20230372847909,48.207953805354315,48.22300425855645,48.69913997783452,-52.83816840540181,3.439739140069903,3.4376062786134884,1426.346962430056,21.122151628513237,0.456224360410508,11.062786134728581,ACC
2017,1,1404.9180430107529,1406.2979247311828,1403.512322580645,1404.882752688172,4455.95311827957,1404.8327333333332,1404.769538709679,1404.70371827957,1404.6354123655954,1404.8324047739125,1404.7675319298603,1404.7008524172938,1404.6335558824346,1407.7000186653725,1404.8327333333332,1401.9654480012941,1404.5033894443725,1404.8122322300178,1404.8869834159957,1404.5562204091777,1774.65,1404.8326404513089,1404.7701587813926,1404.63754652979,42.542698449484874,30.791759406806044,22.50991999075686,0.19067087125172277,-5.115803812749694,-6.294837073630135,-6.638437350381963,0.06487284405220957,0.19884889147773022,0.13397604742552063,0.06729653485904266,0.18818387120236776,0.2556344086021506,0.39601075268817215,0.5363010752688174,0.009427204373016158,0.019518257960959982,0.04102600612286382,0.013806448997770577,50.03778284309616,49.625441607526696,48.228934132411304,48.22872717382689,48.23622562869808,48.228934132411304,48.00856235677577,47.992695876135265,49.269265488392634,-52.06991495428319,2.8246457503772886,2.819569892473135,1404.8976666666667,21.315352755378903,0.43563138455554995,2.0161290322580645,ACC
2017,2,1603.8537158469946,1605.6421857923497,1602.1056721311477,1603.8650163934426,5150.355846994536,1603.8123431694028,1603.7462196721297,1603.6811118397086,1603.6173229508238,1603.812325301291,1603.7470245390289,1603.682401962069,1603.6178282994433,1607.5723752288634,1603.8123431694028,1600.052311109942,1603.5037621206625,1603.9052680915765,1604.0530206283704,1603.6828333158478,1774.65,1603.8123862531797,1603.7461143898431,1603.6162359661996,42.75626919352537,31.58312954833778,23.124393996035035,0.178796763355069,-3.2047583996697653,-3.002628500569591,-2.8281641745065653,0.06530076226184746,0.19449700184770277,0.1291962395858553,0.06457366262586568,0.18140295716712362,0.26351912568306,0.390174863387978,0.5133005464480872,0.009666955605142845,0.01921481457583502,0.03756260787121338,0.011909759408843873,50.235040109774054,50.06589951615875,49.098015478094254,49.09795457035367,49.09702825845472,49.098015478094254,48.27552297519065,48.27890981717256,49.46884986032441,-50.654929337542185,3.5793049486208375,3.5835956284153156,1603.8709581056467,21.047568783218576,0.4524501456442499,5.049180327868853,ACC
